Date,HomeTeam,AwayTeam,FTHG,FTAG,BbAHh,HMargin,H_Bet_Win
170923,Leicester,Liverpool,2,3,0.75,-1,False
170923,Everton,Bournemouth,2,1,-0.75,1,True
170923,Burnley,Huddersfield,0,0,-0.25,0,False
170923,Southampton,Man United,0,1,0.75,-1,False
170924,Brighton,Newcastle,1,0,-0.25,1,True
170925,Arsenal,West Brom,2,0,-1.5,2,True
170930,Chelsea,Man City,0,1,0.0,-1,False
170930,Bournemouth,Leicester,0,0,0.0,0,False
170930,Huddersfield,Tottenham,0,4,1.25,-4,False
170930,Man United,Crystal Palace,4,0,-2.0,4,True
170930,Stoke,Southampton,2,1,0.25,1,True
170930,West Brom,Watford,2,2,-0.25,0,False
170930,West Ham,Swansea,1,0,-0.5,1,True
171001,Arsenal,Brighton,2,0,-1.75,2,True
171001,Everton,Burnley,0,1,-0.75,-1,False
171001,Newcastle,Liverpool,1,1,0.75,0,True
171014,Watford,Arsenal,2,1,0.75,1,True
171014,Swansea,Huddersfield,2,0,-0.25,2,True
171014,Man City,Stoke,7,2,-2.5,5,True
171014,Tottenham,Bournemouth,1,0,-2.0,1,False
171014,Crystal Palace,Chelsea,2,1,1.25,1,True
171014,Burnley,West Ham,1,1,-0.25,0,False
171014,Liverpool,Man United,0,0,0.0,0,False
171015,Southampton,Newcastle,2,2,-0.5,0,False
171015,Brighton,Everton,1,1,0.25,0,True
171016,Leicester,West Brom,1,1,-0.25,0,False
171020,West Ham,Brighton,0,3,-0.75,-3,False
171021,Stoke,Bournemouth,1,2,-0.25,-1,False
171021,Chelsea,Watford,4,2,-1.25,2,True
171021,Huddersfield,Man United,2,1,1.25,1,True
171021,Man City,Burnley,3,0,-2.75,3,True
171021,Newcastle,Crystal Palace,1,0,-0.25,1,True
171021,Southampton,West Brom,1,0,-0.75,1,True
171021,Swansea,Leicester,1,2,0.0,-1,False
171022,Tottenham,Liverpool,4,1,-0.25,3,True
171022,Everton,Arsenal,2,5,0.25,-3,False
171028,Watford,Stoke,0,1,-0.25,-1,False
171028,Man United,Tottenham,1,0,-0.25,1,True
171028,Liverpool,Huddersfield,3,0,-2.0,3,True
171028,West Brom,Man City,2,3,1.75,-1,True
171028,Bournemouth,Chelsea,0,1,1.0,-1,False
171028,Arsenal,Swansea,2,1,-2.0,1,False
171028,Crystal Palace,West Ham,2,2,-0.25,0,False
171029,Brighton,Southampton,1,1,0.25,0,True
171029,Leicester,Everton,2,0,-0.25,2,True
171030,Burnley,Newcastle,1,0,0.0,1,True
171104,Southampton,Burnley,0,1,-0.75,-1,False
171104,Huddersfield,West Brom,1,0,-0.25,1,True
171104,Newcastle,Bournemouth,0,1,-0.5,-1,False
171104,Swansea,Brighton,0,1,-0.25,-1,False
171104,West Ham,Liverpool,1,4,1.0,-3,False
171104,Stoke,Leicester,2,2,0.0,0,False
171105,Chelsea,Man United,1,0,-0.25,1,True
171105,Everton,Watford,3,2,-0.25,1,True
171105,Man City,Arsenal,3,1,-1.25,2,True
171105,Tottenham,Crystal Palace,1,0,-1.5,1,False
171118,Arsenal,Tottenham,2,0,-0.25,2,True
171118,Crystal Palace,Everton,2,2,-0.25,0,False
171118,Bournemouth,Huddersfield,4,0,-0.5,4,True
171118,Burnley,Swansea,2,0,-0.25,2,True
171118,Man United,Newcastle,4,1,-1.5,3,True
171118,West Brom,Chelsea,0,4,1.0,-4,False
171118,Liverpool,Southampton,3,0,-1.25,3,True
171118,Leicester,Man City,0,2,1.5,-2,False
171119,Watford,West Ham,2,0,-0.25,2,True
171120,Brighton,Stoke,2,2,-0.25,0,False
171124,West Ham,Leicester,1,1,0.25,0,True
171125,Tottenham,West Brom,1,1,-1.75,0,False
171125,Swansea,Bournemouth,0,0,-0.25,0,False
171125,Newcastle,Watford,0,3,-0.25,-3,False
171125,Liverpool,Chelsea,1,1,-0.25,0,False
171125,Crystal Palace,Stoke,2,1,-0.25,1,True
171125,Man United,Brighton,1,0,-2.0,1,False
171126,Southampton,Everton,4,1,-0.75,3,True
171126,Huddersfield,Man City,1,2,2.0,-1,True
171126,Burnley,Arsenal,0,1,1.0,-1,False
171128,West Brom,Newcastle,2,2,-0.25,0,False
171128,Leicester,Tottenham,2,1,0.75,1,True
171128,Watford,Man United,2,4,0.75,-2,False
171128,Brighton,Crystal Palace,0,0,-0.25,0,False
